tourney_id,tourney_name,surface,draw_size,tourney_level,tour_yr,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,1,102148,,Q,Fabrice Santoro,R,178,FRA,29.84531143,102369,,Q,Julien Boutter,R,190,FRA,28.52566735,6-3 7-6(4),3,R64,91,1,2,63,38,29,17,11,0,1,8,7,70,38,32,13,10,5,7,50,725,51,715
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,2,103900,,,David Nalbandian,R,180,ARG,20.78302533,101532,,WC,Francisco Clavet,L,183,ESP,33.97125257,6-1 6-1,3,R64,55,7,2,52,31,23,13,7,4,4,1,0,43,34,15,3,7,1,6,18,1523,106,375
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,3,102701,,,Marcelo Rios,L,175,CHI,26.80082136,103292,,,Gaston Gaudio,R,175,ARG,23.84668036,6-2 6-2,3,R64,58,12,2,57,39,31,8,8,7,7,2,1,47,33,18,7,8,2,6,25,1240,22,1408
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,4,102839,,,Nicolas Lapentti,R,188,ECU,26.16837782,103356,,,Michel Kratochvil,R,185,SUI,23.52087611,7-6(5) 6-1,3,R64,106,6,2,73,41,28,15,9,8,11,3,7,76,37,26,13,10,7,13,30,1130,64,635
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,5,103387,,,Paradorn Srichaphan,R,185,THA,23.33470226,102856,,WC,Gustavo Kuerten,R,190,BRA,26.091718,6-4 6-4,3,R64,76,3,4,58,32,28,14,10,0,0,5,1,73,45,30,14,10,2,4,28,1190,35,1005
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,6,103344,,,Ivan Ljubicic,R,193,CRO,23.57289528,102456,,,Felix Mantilla,R,180,ESP,28.05749487,6-3 6-4,3,R64,69,10,0,48,21,17,19,9,1,2,1,3,55,31,23,9,10,1,5,54,700,58,660
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,7,103990,,,Tommy Robredo,R,180,ESP,20.45448323,103018,,,Max Mirnyi,R,196,BLR,25.27310062,6-4 6-4,3,R64,79,1,1,62,43,30,12,10,1,2,4,8,69,38,28,13,10,10,13,38,925,27,1200
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,8,103602,,,Fernando Gonzalez,R,183,CHI,22.20944559,102987,,Q,Andre Sa,R,185,BRA,25.44010951,6-3 6-2,3,R64,66,12,3,55,33,28,13,9,1,1,0,4,55,30,21,9,8,3,6,20,1493,65,629
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,9,103598,,,Xavier Malisse,R,185,BEL,22.23682409,102905,,,Stefan Koubek,L,175,AUT,25.77960301,6-2 6-4,3,R64,73,5,5,68,35,26,17,9,5,7,0,5,60,24,15,14,9,0,5,24,1255,45,765
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,10,104022,,,Mikhail Youzhny,R,183,RUS,20.30390144,103428,,,Juan Ignacio Chela,R,190,ARG,23.12388775,6-2 6-2,3,R64,67,0,1,50,27,19,18,8,2,2,2,5,61,26,17,14,8,6,10,44,773,23,1347
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,11,102796,,,Magnus Norman,R,188,SWE,26.37371663,103151,,,Mariano Zabaleta,R,183,ARG,24.62422998,6-7(2) 7-6(4) 6-2,3,R64,155,12,1,105,67,49,26,16,5,7,10,7,98,57,46,19,16,1,5,120,343,53,704
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,12,102860,,Q,Agustin Calleri,R,183,ARG,26.0807666,103484,,,James Blake,R,185,USA,22.79534565,6-4 6-2,3,R64,74,6,1,59,32,25,15,9,4,5,1,3,53,25,14,13,9,6,10,52,709,26,1220
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,13,103813,,,Jarkko Nieminen,L,185,FIN,21.22655715,102783,,,Rainer Schuettler,R,180,GER,26.46954141,1-6 6-4 7-6(5),3,R64,130,1,5,95,48,33,21,14,1,6,4,10,114,63,46,22,15,10,14,37,951,31,1130
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,14,102374,,,Alex Corretja,R,180,ESP,28.50924025,102950,,Q,Fernando Vicente,R,180,ESP,25.60164271,6-4 7-5,3,R64,107,9,3,70,34,26,19,11,8,10,8,4,81,45,27,18,11,7,11,21,1490,57,666
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,15,103852,,WC,Feliciano Lopez,L,188,ESP,21.06502396,103096,,,Arnaud Clement,R,173,FRA,24.82409309,7-6(5) 3-6 6-4,3,R64,118,17,7,93,54,46,16,16,3,6,7,5,88,47,35,25,15,4,6,71,556,40,860
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,16,102998,,Q,Jan Michael Gambill,R,190,USA,25.36344969,102318,,,Andrei Pavel,R,183,ROU,28.7118412,7-6(3) 6-3,3,R64,100,12,0,74,34,27,22,10,4,5,6,2,73,47,31,10,11,6,9,42,775,29,1165
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,17,102148,,Q,Fabrice Santoro,R,178,FRA,29.84531143,103163,1,,Tommy Haas,R,188,GER,24.53114305,7-6(7) 4-1 RET,3,R32,71,8,2,52,26,24,17,8,4,4,8,4,62,36,25,13,9,1,3,50,725,3,2665
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,18,103900,,,David Nalbandian,R,180,ARG,20.78302533,103084,13,,Guillermo Canas,R,185,ARG,24.8843258,4-6 6-3 6-3,3,R32,116,3,2,83,50,36,22,14,3,4,7,4,86,41,33,20,14,1,4,18,1523,16,1750
2002-1536,Madrid Masters,Hard,48,M,2002,20021014,19,103819,12,,Roger Federer,R,185,SUI,21.18275154,102701,,,Marcelo Rios,L,175,CHI,26.80082136,6-4 6-2,3,R32,65,5,3,53,28,21,14,9,2,4,4,1,69,41,24,9,9,3,8,7,2115,25,1240
